№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
126,Автобус,Остановка,"ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","Нахимова ул., Кораблестроителей ул","100, 128, 151, 249, 41, 7","59.939745233905519,30.2196255"
127,Автобус,Остановка,"ГОСТИНИЦА ""САНКТ-ПЕТЕРБУРГ""","ГОСТИНИЦА ""САНКТ-ПЕТЕРБУРГ""","Финляндский пр., Оренбургская ул",28,"59.958198084603282,30.3413868"
128,Автобус,Остановка,ГРАЖДАНСКАЯ УЛ,ГРАЖДАНСКАЯ УЛ,"проспект Ленина, улица Ломоносова","145, 145Б, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484","59.747714461192544,30.1022358"
129,Автобус,Остановка,"ПР. НЕПОКОРЁННЫХ, УГОЛ ГРАЖДАНСКОГО ПР","ПР. НЕПОКОРЁННЫХ, УГОЛ ГРАЖДАНСКОГО ПР","проспект Непокорённых, Гражданский пр","123, 138, 222, 250, 271, 275, 40, 80","59.99645626884179,30.3794518"
130,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО,ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО,"Луначарского пр., Гражданский пр","102, 153, 178, 272, 40","60.026171086113074,30.4096375"
131,Автобус,Остановка,ГРАЖДАНСКИЙ ПР,ГРАЖДАНСКИЙ ПР,"Гражданский пр., Непокоренных пр","295, 40, 60, 60","59.996797813158615,30.3815975"
132,Автобус,Остановка,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР,ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР,"Северный проспект, Северная площадь","270, 40, 94","60.022932566719568,30.404192"
133,Автобус,Остановка,"ГРАЖДАНСКИЙ ПР.,90","ГРАЖДАНСКИЙ ПР.,90",Гражданский пр,"102, 153, 177, 178, 206, 295, 60, 60., 93","60.01718503447097,30.40205"
134,Автобус,Остановка,"СОФИЙСКАЯ УЛ., УГОЛ ГРУЗОВОГО ПРОЕЗДА","СОФИЙСКАЯ УЛ., УГОЛ ГРУЗОВОГО ПРОЕЗДА","ул. Софийская, Складской пр-д","326, 96","59.842914431308344,30.4337997"
135,Автобус,Остановка,ОГОРОДНАЯ УЛ,ОГОРОДНАЯ УЛ,"Сапёрная улица, Огородная улица","186, 252, 273, 376, 382","59.701389169619844,30.3979836"
136,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. ПР. БОЛЬШЕВИКОВ","ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. ПР. БОЛЬШЕВИКОВ [8]","Большевиков пр., Дальневосточный пр","285, 4, 8","59.877031500599813,30.4793777"
137,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР,"ДАЛЬНЕВОСТОЧНЫЙ ПР. [118, 140, 12]","Дальневосточный пр., ул. Новосёлов","118, 12, 285, 97","59.883677305774519,30.4687023"
138,Автобус,Остановка,"ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. УЛ. ТЕЛЬМАНА","ДАЛЬНЕВОСТОЧНЫЙ ПР., УГ. УЛ. ТЕЛЬМАНА [12]","ул. Тельмана, Дальневосточный пр","118, 12, 285, 97","59.890095638352953,30.4654675"
139,Автобус,Остановка,ДАЧНАЯ УЛ,ДАЧНАЯ УЛ,Таллинское ш,"145, 145Б, 147, 165, 245","59.768929032526827,30.1198883"
140,Автобус,Остановка,ДАЧНЫЙ ПР,ДАЧНЫЙ ПР,"Ветеранов пр., Дачный пр","130, 145, 145Б, 203, 246","59.845316254198117,30.2509594"
141,Автобус,Остановка,ДВИНСКАЯ УЛ. 15,"ДВИНСКАЯ УЛ. 15 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Шотландская ул","22, 263, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.909072666560242,30.2421074"
142,Автобус,Остановка,ДВИНСКАЯ УЛ. 9,"ДВИНСКАЯ УЛ. 9 [22, 49, 65, 66, 70, 70, 71, 71]","Двинская ул., Виндавская ул","22, 263, 290, 35, 43, 49, 65, 66, 67, 70, 71","59.909038421764244,30.2487812"
143,Автобус,Остановка,"ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""","ДВОРЕЦ СПОРТИВНЫХ ИГР ""ЗЕНИТ""",Бутлерова ул,"178, 250, 61","60.00355283515151,30.3981056"
144,Автобус,Остановка,ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ,"ДВОРЕЦ ТВОРЧЕСТВА ЮНЫХ [7, 3, 27, 22, 24]","Невский пр., пл. Островского","191, 24, 27","59.933589719382574,30.3392773"
145,Автобус,Остановка,ДВОРЦОВАЯ ПЛ,ДВОРЦОВАЯ ПЛ,"Дворцовый проезд, Адмиралтейский проезд","10, 191, 24, 7","59.938770145175155,30.3113308"
146,Автобус,Остановка,ДЕГТЯРНАЯ УЛ,ДЕГТЯРНАЯ УЛ. [15],"ул. 8-я Советская, ул. Дегтярная",15,"59.936162925016141,30.3755207"
147,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, 166","ДЕР. НОВОСАРАТОВКА,166 [476]",,476,"59.842609044266098,30.5277596"
148,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, 40","ДЕР. НОВОСАРАТОВКА,40 [476]",КАД,476,"59.853954521459549,30.5052681"
149,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, ПОКРОВСКАЯ ДОРОГА","ДЕР. НОВОСАРАТОВКА, ПОКРОВСКАЯ ДОРОГА [476]",,476,"59.847090060700282,30.5147762"
150,Автобус,Остановка,"ДЕР. НОВОСАРАТОВКА, ШКОЛА","ДЕР. НОВОСАРАТОВКА, ШКОЛА [476]",,476,"59.84389919965367,30.5235214"
151,Автобус,Остановка,ДЕР. ЩЕРБИНКА,ДЕР. ЩЕРБИНКА [476],,476,"59.788504516046032,30.682785"
152,Автобус,Остановка,УЛ. ГЕНЕРАЛА ХАЗОВА,УЛ. ГЕНЕРАЛА ХАЗОВА,Генерала Хазова ул,"187, 342, 377","59.737176129409391,30.3937035"
153,Автобус,Остановка,ПРИЛУКСКАЯ УЛ,ПРИЛУКСКАЯ УЛ,"Днепропетровская ул., Прилукская ул",74,"59.907702847170199,30.3555737"
154,Автобус,Остановка,КУРСКАЯ УЛ,КУРСКАЯ УЛ,"Днепропетровская ул., Курская ул",74,"59.910271212167288,30.3572788"
155,Автобус,Остановка,ДОЛГООЗЕРНАЯ УЛ,ДОЛГООЗЕРНАЯ УЛ. [127],"Комендантский пр., Долгоозёрная ул","127, 135, 154, 171, 85","60.017284020621588,30.2486172"
156,Автобус,Остановка,ДОРОГА В БУЯНИЦЫ,ДОРОГА В БУЯНИЦЫ,Таллинское ш,487,"59.559481112982688,29.1969376"
157,Автобус,Остановка,ДОРОГА В ДЕР. РЫЖИКИ,ДОРОГА В ДЕР. РЫЖИКИ,Колтушское ш,485,"59.904788368395451,30.6710606"
158,Автобус,Остановка,"ДОРОГА В ДЕР. ""ТРУДОВИК"", ПО ТРЕБОВАНИЮ","ДОРОГА В ДЕР. ""ТРУДОВИК"", ПО ТРЕБОВАНИЮ",Нарвское шоссе,"482, 482В, 487","59.660982582091009,29.7570267"
159,Автобус,Остановка,ДОРОГА В НЕГОДИЦЫ,ДОРОГА В НЕГОДИЦЫ,Таллинское ш,487,"59.560256249782952,29.2242184"
160,Автобус,Остановка,"ДОРОГА В ПОС. ""КРАСНАЯ ЗВЕЗДА""","ДОРОГА В ПОС. ""КРАСНАЯ ЗВЕЗДА"" [476]",Западный проезд,476,"59.800737658210117,30.6383648"
161,Автобус,Остановка,ДОРОГА К ШКОЛЕ,ДОРОГА К ШКОЛЕ [476],,476,"59.807058647225034,30.6198177"
162,Автобус,Остановка,ДОРОГА НА ЕЛИЗАВЕТИНКУ,"ДОРОГА НА ЕЛИЗАВЕТИНКУ, ПО ТРЕБОВАНИЮ",,"435, Я=555","60.181627580085333,30.1322346"
163,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,"Московское шоссе, 2-й Бадаевский проезд","179, 192, 196, 197, 287, 388","59.803214666799697,30.3957653"
164,Автобус,Остановка,"ДОРОГА НА КЕЛОЗИ, ПО ТРЕБОВАНИЮ","ДОРОГА НА КЕЛОЗИ, ПО ТРЕБОВАНИЮ",Нарвское шоссе,484,"59.669268541146373,29.8233185"
165,Автобус,Остановка,"ДОРОГА НА КИПЕНСКУЮ ПТИЦЕФАБРИКУ, ПО ТРЕБОВАНИЮ","ДОРОГА НА КИПЕНСКУЮ ПТИЦЕФАБРИКУ, ПО ТРЕБОВАНИЮ",Нарвское шоссе,"482, 482В, 484","59.671334537505466,29.8273811"
166,Автобус,Остановка,ГОФМЕЙСТЕРСКАЯ УЛ,ГОФМЕЙСТЕРСКАЯ УЛ,"Санкт-Петербургское шоссе, Гофмейстерская улица","103, 200, 201, 210, 329, 359","59.861853245328298,29.9909992"
167,Автобус,Остановка,ПЕТРОВА ДАЧА,ПЕТРОВА ДАЧА,,476,"59.797112854935655,30.6644077"
168,Автобус,Остановка,ЛЕНСОВЕТОВСКАЯ ДОРОГА,ЛЕНСОВЕТОВСКАЯ ДОРОГА,"Московское шоссе, Ленсоветовская дорога","179, 192, 196, 197, 388","59.769730291851396,30.4580345"
169,Автобус,Остановка,ДОРОГА НА ТУРУХТАННЫЕ ОСТРОВА,ДОРОГА НА ТУРУХТАННЫЕ ОСТРОВА,"Маршала Жукова пр., дор. на Турухтанные острова","111, 2","59.869534095782797,30.247818"
170,Автобус,Остановка,ДРЕЗДЕНСКАЯ УЛ,"ДРЕЗДЕНСКАЯ УЛ. [40, 86]","Энгельса пр., Кубанская ул","222, 40, 86","60.013594026116714,30.3237667"
171,Автобус,Остановка,"ПУЛКОВСКОЕ ШОССЕ, 9","ПУЛКОВСКОЕ ШОССЕ, 9",Пулковское ш,"13, 13А, 141, 147, 150, 155, 187, 252, 263, 299, 301, 39, 90","59.83441058559491,30.3218498"
172,Автобус,Остановка,ДУНАЙСКИЙ ПР,ДУНАЙСКИЙ ПР,"Малая Балканская ул., Дунайский пр","157, 74","59.835701058703663,30.380003"
173,Автобус,Остановка,"СОФИЙСКАЯ УЛ., УГОЛ ДУНАЙСКОГО ПР","СОФИЙСКАЯ УЛ., УГОЛ ДУНАЙСКОГО ПР","ул. Софийская, Дунайский пр","287, 326, 96","59.845913251852892,30.4309006"
174,Автобус,Остановка,ДУНАЙСКИЙ ПР,ДУНАЙСКИЙ ПР,"ул. Бухарестская, Дунайский пр","241, 56, 57","59.843024232706227,30.4091396"
175,Автобус,Остановка,"ДУНАЙСКИЙ ПР., УГ. ПР. КОСМОНАВТОВ","ДУНАЙСКИЙ ПР., УГ. ПР. КОСМОНАВТОВ","Дунайский пр., пр. Космонавтов","186, 50","59.83244389076976,30.3603001"
176,Автобус,Остановка,ЕГИПЕТСКИЕ ВОРОТА,ЕГИПЕТСКИЕ ВОРОТА [187],"Октябрьский бульвар, Октябрьский бул","187, 342","59.728672832946707,30.3954105"
177,Автобус,Остановка,"ЕРМАК, 1 - ПО ТРЕБОВАНИЮ","ЕРМАК, 1 - ПО ТРЕБОВАНИЮ",,476,"59.817798144713073,30.5974369"
178,Автобус,Остановка,"ЕРМАК,2","ЕРМАК,2 [476]",,476,"59.814793357371784,30.6035004"
179,Автобус,Остановка,Ж.-Д. СТ. ЛИГОВО,Ж.-Д. СТ. ЛИГОВО,"Народного ополчения пр., Авангардная ул","111, 130, 163, 165, 2, 203, 260, 265, 2А, 333, 87","59.824023201871654,30.1807518"
180,Автобус,Остановка,ПЛАТФОРМА НОВАЯ ОХТА,ПЛАТФОРМА НОВАЯ ОХТА,"Просвещения пр., Руставели ул","121, 139, 93","60.032725642411016,30.431078"
181,Автобус,Остановка,Ж.-Д. СТ. ПИСКАРЁВКА,Ж.-Д. СТ. ПИСКАРЁВКА,"Пискарёвский проспект, Куракина улица","105, 107, 137, 176, 230, 237, 249, 33","59.985012496525663,30.4260044"
182,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА ПРОСПЕКТ СЛАВЫ,Ж.-Д. ПЛАТФОРМА ПРОСПЕКТ СЛАВЫ,"Витебский проспект, Белградская улица","116, 72","59.850555057947318,30.3637047"
183,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА СОСНОВАЯ ПОЛЯНА,Ж.-Д. ПЛАТФОРМА СОСНОВАЯ ПОЛЯНА,"Пограничника Гарькавого ул., Народного ополчения пр","130, 163, 203, 229, 333","59.825890835538964,30.146492"
184,Автобус,Остановка,Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,"ул. Гостилицкая, ул. Спортивная","204Э, 210, 352, 354, 356, 357, 358, 359, 463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.879163512719309,29.862421"
185,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА ЛЕНИНСКИЙ ПРОСПЕКТ,Ж.-Д. ПЛАТФОРМА ЛЕНИНСКИЙ ПРОСПЕКТ,"Ленинский пр., ЗСД","114, 130, 226, 239, 243, 246, 256, 26, 333","59.851786588881033,30.2894955"
186,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,Петергофское ш,"103, 162, 200, 201, 210, 229, 329, 68А","59.849059321208841,30.1242466"
187,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПР,ЖЕЛЕЗНОДОРОЖНЫЙ ПР. [8],"Седова ул., Железнодорожный пр","114, 116, 31, 8, 95","59.883221498766147,30.4248943"
188,Автобус,Остановка,РУСАНОВСКАЯ УЛ. (ПОСАДКИ НЕТ),РУСАНОВСКАЯ УЛ. (ПОСАДКИ НЕТ),Октябрьская наб,8,"59.862552824769331,30.4951077"
189,Автобус,Остановка,"ЗАВОД ""КРАСНЫЙ ВЫБОРЖЕЦ"", ПО ТРЕБОВАНИЮ","ЗАВОД ""КРАСНЫЙ ВЫБОРЖЕЦ"", ПО ТРЕБОВАНИЮ","Кондратьевский пр., Ватутина ул","106, 107, 133, 176, 234, 28","59.960451398912078,30.3769932"
190,Автобус,Остановка,НЕВСКИЙ ЗАВОД,НЕВСКИЙ ЗАВОД,"Седова ул., Автогенная ул","253, 31, 58, 8","59.898523599361226,30.4062538"
191,Автобус,Остановка,ЗАГРЕБСКИЙ БУЛЬВАР,ЗАГРЕБСКИЙ БУЛЬВАР,"ул. Малая Балканская, Загребcкий бульвар","157, 159, 326, 50, 54, 56, 74","59.827212535065598,30.4164791"
192,Автобус,Остановка,ЗАМШИНА УЛ. 62,ЗАМШИНА УЛ. 62,"Замшина ул., Герасимовская ул","107, 249, 33","59.980710664575817,30.4072723"
193,Автобус,Остановка,ЗАМШИНА УЛ. УГ. ПР. МЕЧНИКОВА,ЗАМШИНА УЛ. УГ. ПР. МЕЧНИКОВА,"проспект Мечникова, Замшина улица","105, 106, 107, 123, 136, 137, 176, 230, 237, 249, 264, 33","59.985101329101646,30.4126816"
194,Автобус,Остановка,"ЗАНЕВСКИЙ ПР.,З2","ЗАНЕВСКИЙ ПР.,З2","Заневский пр., Республиканская ул","183, 21, 24, 27, 295, 46","59.931365378119153,30.4256554"
195,Автобус,Остановка,ЗАПОРОЖСКАЯ УЛ. 23,ЗАПОРОЖСКАЯ УЛ. 23 [48],"КАД, Запорожская ул",48,"59.850970147281416,30.4686642"
196,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ., 14","ЗАРЕЧНАЯ УЛ., 14","ул. Заречная, ул. Набережная",20,"59.776968265280004,30.1461468"
197,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ., УГОЛ АННИНСКОГО ШОССЕ","ЗАРЕЧНАЯ УЛ., УГОЛ АННИНСКОГО ШОССЕ",,20,"59.779897393203669,30.1489201"
198,Автобус,Остановка,"ЗАСТАВСКАЯ УЛ., ""КУКОЛЬНЫЙ ТЕАТР СКАЗКИ""","ЗАСТАВСКАЯ УЛ., ""КУКОЛЬНЫЙ ТЕАТР СКАЗКИ""","Московский пр., Заставская ул","159, 225, 226, 26, 263, 281, 3, 50, 62, 64","59.889403491273519,30.3199539"
